trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
114,NZD_CHF,bullish,2024-02-27 22:00:00+00:00,2024-03-21 21:00:00+00:00,0.5367943599999999,0.5448612274966264,0.530776020411859,0.5404053637528845,1.34,482.54,1,15,0
115,AUD_CHF,bullish,2024-02-27 22:00:00+00:00,2024-03-03 22:00:00+00:00,0.57114044,0.578807333134858,0.5653951204540218,0.5745876317275869,1.33,480.41,1,14,0
116,NZD_USD,bullish,2024-02-27 22:00:00+00:00,2024-03-10 21:00:00+00:00,0.6099201,0.6188449885410207,0.6033160805180746,0.6138825116891552,1.35,486.52,1,15,0
117,CAD_JPY,bullish,2024-02-27 22:00:00+00:00,2024-02-28 22:00:00+00:00,110.98870600000001,110.16551046326593,110.24051046326593,111.43762332204045,-1.1,-396.09,0,15,0
118,NZD_CAD,bullish,2024-02-27 22:00:00+00:00,2024-03-19 21:00:00+00:00,0.82651008,0.8194678185619764,0.8193759967369346,0.8307905299578393,-0.99,-355.37,0,15,0
119,AUD_NZD,bearish,2024-02-27 22:00:00+00:00,2024-03-06 22:00:00+00:00,1.06651618,1.0732262879295715,1.0724762879295715,1.062940115242257,-1.13,-405.3,0,15,0
120,AUD_NZD,bearish,2024-02-27 22:00:00+00:00,2024-03-06 22:00:00+00:00,1.0658324000000001,1.073220838791745,1.072470838791745,1.0618493367249533,-1.11,-400.67,0,15,0
121,XAG_USD,bullish,2024-02-28 00:00:00+00:00,2024-03-05 00:00:00+00:00,22.35147373199463,23.737497827178448,21.824621522095267,22.66758505793425,2.63,947.08,1,15,0
122,GBP_JPY,bullish,2024-02-28 22:00:00+00:00,2024-03-04 22:00:00+00:00,189.367214,191.22548415765922,188.0475756671268,190.1589969997239,1.41,506.94,1,20,0
123,GBP_JPY,bullish,2024-02-28 22:00:00+00:00,2024-03-06 22:00:00+00:00,189.748824,188.40607852684994,188.31147085583893,190.61123588649667,-0.93,-336.3,0,20,0
124,USD_CHF,bullish,2024-02-28 22:00:00+00:00,2024-03-03 22:00:00+00:00,0.88176922,0.8890537317901384,0.8762849116108271,0.8850598050335038,1.33,478.17,1,15,0
125,EUR_JPY,bullish,2024-02-28 22:00:00+00:00,2024-03-06 22:00:00+00:00,162.218536,161.0160313665959,160.94018607550555,162.98554595469668,-0.94,-338.64,0,15,0
126,CAD_CHF,bearish,2024-02-28 22:00:00+00:00,2024-03-17 21:00:00+00:00,0.65156746,0.6566477843751559,0.6558977843751559,0.6489692653749064,-1.17,-422.35,0,15,0
127,CAD_CHF,bearish,2024-02-28 22:00:00+00:00,2024-03-17 21:00:00+00:00,0.65148,0.6567261569197876,0.6559761569197876,0.6487823058481273,-1.17,-420.05,0,14,0
128,CAD_CHF,bearish,2024-02-28 22:00:00+00:00,2024-03-19 21:00:00+00:00,0.64701266,0.6583725487427844,0.6576225487427844,0.6406467267543294,-1.07,-385.45,0,14,0
129,USD_CHF,bullish,2024-02-29 22:00:00+00:00,2024-03-07 22:00:00+00:00,0.88332,0.8755122750671965,0.8762622750671966,0.887554634959682,-1.11,-398.26,0,15,0
130,AUD_CHF,bearish,2024-03-03 22:00:00+00:00,2024-03-06 22:00:00+00:00,0.57547646,0.5814674880425788,0.5807174880425787,0.5723318431744527,-1.14,-411.52,0,15,0
131,AUD_CHF,bearish,2024-03-03 22:00:00+00:00,2024-03-06 22:00:00+00:00,0.57478,0.5808606557637075,0.5801106557637075,0.5715816065417755,-1.14,-410.65,0,14,0
132,USD_CHF,bullish,2024-03-03 22:00:00+00:00,2024-03-07 22:00:00+00:00,0.88176922,0.875669543240034,0.8757038268481111,0.8854084558911334,-1.01,-362.03,0,14,0
133,CAD_JPY,bullish,2024-03-03 22:00:00+00:00,2024-03-04 22:00:00+00:00,110.98870600000001,110.18582160633937,110.26082160633938,111.42543663619638,-1.1,-397.09,0,15,0
134,AUD_CHF,bearish,2024-03-04 22:00:00+00:00,2024-03-06 22:00:00+00:00,0.57462,0.5808156817466711,0.5800656817466711,0.5713525909519974,-1.14,-409.58,0,15,0
135,CAD_JPY,bullish,2024-03-04 22:00:00+00:00,2024-03-06 22:00:00+00:00,110.892,109.82048529568219,109.89548529568219,111.48990882259068,-1.08,-387.09,0,14,0
136,USD_JPY,bearish,2024-03-04 22:00:00+00:00,2024-03-06 22:00:00+00:00,150.431578,148.27894328928673,151.1513307336715,149.9997263597971,2.99,1076.69,1,15,0
137,NAS100_USD,bullish,2024-03-05 00:00:00+00:00,2024-03-11 00:00:00+00:00,17842.923,18481.274158416632,17406.676475483524,18104.670914709885,1.46,526.78,1,20,0
138,GBP_JPY,bullish,2024-03-05 22:00:00+00:00,2024-03-06 22:00:00+00:00,189.962,188.2332669880679,188.30826698806788,190.95423980715924,-1.05,-376.33,0,20,0
139,USD_CAD,bullish,2024-03-05 22:00:00+00:00,2024-03-07 22:00:00+00:00,1.3518842800000002,1.342889254419132,1.343639254419132,1.356831295348521,-1.09,-392.75,0,15,0
140,USD_CHF,bullish,2024-03-05 22:00:00+00:00,2024-03-07 22:00:00+00:00,0.88176922,0.874996839216103,0.8757468392161031,0.8853826484703382,-1.12,-404.83,0,14,0
141,GBP_AUD,bullish,2024-03-05 22:00:00+00:00,2024-04-03 21:00:00+00:00,1.93841024,1.9246824837240855,1.923696230616877,1.9472386456298738,-0.93,-335.87,0,15,0
142,GBP_AUD,bullish,2024-03-05 22:00:00+00:00,2024-04-03 21:00:00+00:00,1.93953,1.9246101028752223,1.9234643570013858,1.9491693857991685,-0.93,-334.33,0,15,0
143,EUR_AUD,bullish,2024-03-06 22:00:00+00:00,2024-03-07 22:00:00+00:00,1.65736476,1.6450030416510983,1.6457530416510984,1.6643317910093411,-1.06,-383.25,0,15,0
144,GBP_JPY,bullish,2024-03-06 22:00:00+00:00,2024-03-10 21:00:00+00:00,189.748824,188.2332875256116,188.30828752561158,190.61314588463307,-1.05,-378.74,0,20,0
