date,balance,equity,daily_hwm,open_trades,trading_halted
2024-02-18,185709.53765411643,186281.0695446424,186269.00508911247,2,False
2024-02-19,185709.53765411643,185825.07221396093,186281.0695446424,2,False
2024-02-20,185709.53765411643,186215.49896074855,185825.07221396093,2,False
2024-02-21,186075.01785411642,186398.56437057324,186215.49896074855,1,False
2024-02-22,186075.01785411642,186358.58938525093,186398.56437057324,1,False
2024-02-23,186075.01785411642,186791.54922628042,186358.58938525093,1,False
2024-02-25,186075.01785411642,186738.86424562483,186791.54922628042,1,False
2024-02-26,186075.01785411642,187685.74168610224,186738.86424562483,2,False
2024-02-27,189074.60175411642,189578.3432044108,187685.74168610224,1,False
2024-02-28,189074.60175411642,190206.79914938906,189578.3432044108,2,False
2024-02-29,189074.60175411642,190647.2936458888,190206.79914938906,2,False
2024-03-01,189074.60175411642,191785.6362749472,190647.2936458888,2,False
2024-03-03,189074.60175411642,191765.5912958087,191785.6362749472,2,False
2024-03-04,192102.7400541164,193907.17003562165,191765.5912958087,1,False
2024-03-05,195506.1861741164,195506.1861741164,193907.17003562165,0,False
2024-03-06,195506.1861741164,195506.1861741164,195506.1861741164,0,False
2024-03-07,195506.1861741164,196375.89216236505,195506.1861741164,1,False
2024-03-08,196481.7285741164,196481.7285741164,196375.89216236505,0,False
2024-03-10,196481.7285741164,196533.0604697396,196481.7285741164,5,False
2024-03-11,196481.7285741164,196563.2837848066,196533.0604697396,12,False
2024-03-12,196481.7285741164,198498.90898147263,196563.2837848066,14,False
2024-03-13,196481.7285741164,190531.0253678372,198498.90898147263,17,False
2024-03-14,199489.93673411637,201159.59307203643,196481.7285741164,22,False
2024-03-15,200489.80763411635,207870.57991633596,201159.59307203643,22,False
2024-03-17,200489.80763411635,206178.67416110763,207870.57991633596,26,False
2024-03-18,193344.72763411637,204337.8386221409,206178.67416110763,32,False
2024-03-19,197742.25847411633,213559.35501810134,204337.8386221409,29,False
2024-03-20,205770.07265411635,219839.0811431623,213559.35501810134,33,False
2024-03-21,216268.58253637693,216268.58253637693,216268.58253637693,0,True
2024-03-22,216268.58253637693,216268.58253637693,216268.58253637693,0,False
2024-03-24,216268.58253637693,217086.20814548666,216268.58253637693,2,False
2024-03-25,216268.58253637693,217213.87084696413,217086.20814548666,3,False
2024-03-26,216268.58253637693,217895.5647241425,217213.87084696413,3,False
2024-03-27,216268.58253637693,217468.25627404384,217895.5647241425,5,False
2024-03-28,216268.58253637693,220978.47137062845,217468.25627404384,6,False
2024-03-29,219302.14175637692,221296.41770414443,220978.47137062845,5,False
2024-03-31,219302.14175637692,223778.2179630517,221296.41770414443,7,False
2024-04-01,220275.7143563769,223723.07564503682,223778.2179630517,7,False
2024-04-02,220691.93945637692,222685.3211298971,223723.07564503682,16,False
2024-04-03,221017.2841663769,225536.14926828624,222685.3211298971,10,False
2024-04-04,224631.71700637686,225766.67685341657,225536.14926828624,10,False
2024-04-05,222006.80700637685,227244.7883915497,225766.67685341657,10,False
2024-04-07,222006.80700637685,228342.5786717884,227244.7883915497,13,False
2024-04-08,222540.27400637686,227095.87892244285,228342.5786717884,15,False
2024-04-09,219199.59753637688,221644.01134025416,227095.87892244285,16,False
2024-04-10,221071.66708637687,222463.29125788415,221644.01134025416,16,False
2024-04-11,219258.03428637687,229378.23531990347,222463.29125788415,18,False
2024-04-12,220617.5012568077,220617.5012568077,220617.5012568077,0,True
2024-04-14,218318.5512568077,221502.87293085875,220617.5012568077,4,False
2024-04-15,217700.41095680773,215722.52214146938,221502.87293085875,5,False
2024-04-16,217700.41095680773,217590.41317491163,217700.41095680773,7,False
2024-04-17,217700.41095680773,216968.8762311041,217700.41095680773,8,False
2024-04-18,217700.41095680773,222397.47689346585,217700.41095680773,17,False
2024-04-19,215003.18413156673,215003.18413156673,215003.18413156673,0,True
2024-04-21,215003.18413156673,215599.36818284699,215003.18413156673,4,False
2024-04-22,209059.1941315667,210871.55001140872,215599.36818284699,9,False
2024-04-23,209391.3055315667,209728.86973176376,210871.55001140872,14,False
2024-04-24,209647.6838215667,211986.2957057012,209728.86973176376,21,False
2024-04-25,210831.9390315667,209687.18375195877,211986.2957057012,23,False
2024-04-26,208685.26903156668,211378.80363648693,210831.9390315667,23,False
2024-04-28,208685.26903156668,218239.38570967337,211378.80363648693,30,False
2024-04-29,214178.27657156668,216578.82218985364,218239.38570967337,24,False
2024-04-30,235226.26135156667,257402.86239084852,216578.82218985364,30,False
2024-05-01,251547.36050156673,261180.42547496906,257402.86239084852,28,False
2024-05-02,256464.13873156675,255561.698172537,261180.42547496906,27,False
2024-05-03,248877.30965156673,252227.90640029105,256464.13873156675,19,False
2024-05-05,248877.30965156673,252290.2819504729,252227.90640029105,22,False
2024-05-06,249410.52695156672,255393.75359904754,252290.2819504729,24,False
2024-05-07,247224.49695156672,257345.35439932763,255393.75359904754,24,False
2024-05-08,247224.49695156672,257149.82592422454,257345.35439932763,25,False
2024-05-09,244734.30615156674,262543.35434122395,257149.82592422454,25,False
2024-05-10,243535.83177156674,260604.57102153052,262543.35434122395,22,False
2024-05-12,243535.83177156674,261504.04874310692,260604.57102153052,23,False
2024-05-13,243963.88537156675,262055.38498959094,261504.04874310692,22,False
2024-05-14,245555.61431156675,266045.9312121782,262055.38498959094,22,False
2024-05-15,254413.18903156676,262320.3072945216,266045.9312121782,17,False
2024-05-16,252017.29903156674,265827.1678932174,262320.3072945216,16,False
2024-05-17,255623.06541156676,268920.3326274654,265827.1678932174,16,False
2024-05-19,255623.06541156676,269941.9547015609,268920.3326274654,18,False
2024-05-20,257153.72105156677,280085.08323739015,269941.9547015609,17,False
2024-05-21,260923.96113156676,280312.91582908365,280085.08323739015,22,False
2024-05-22,257990.15070156677,279368.0593208545,280312.91582908365,18,False
2024-05-23,260336.65496156676,278742.1593215933,279368.0593208545,18,False
2024-05-24,260336.65496156676,280404.41979005473,278742.1593215933,18,False
2024-05-26,260336.65496156676,280232.17708400165,280404.41979005473,18,False
2024-05-27,270167.5254015668,284454.60760473664,280232.17708400165,16,False
2024-05-28,270167.5254015668,284566.72249484283,284454.60760473664,19,False
2024-05-29,270167.5254015668,295607.6479183688,284566.72249484283,26,False
2024-05-30,294894.83475525567,294894.83475525567,294894.83475525567,0,True
2024-05-31,294894.83475525567,295857.08592090884,294894.83475525567,1,False
2024-06-02,294894.83475525567,294818.6529834141,295857.08592090884,7,False
2024-06-03,295507.97385525564,311886.7624798758,294894.83475525567,11,False
2024-06-04,298043.0225552557,302921.035447701,311886.7624798758,10,False
2024-06-05,301982.6923152557,315712.10045185627,302921.035447701,12,False
2024-06-06,306118.7108652557,323960.28017957247,315712.10045185627,17,False
2024-06-07,310074.97733247664,310074.97733247664,310074.97733247664,0,True
